Entity,Code,Year,‘cost of basic needs’ approach - number above poverty line,525240-annotations,‘cost of basic needs’ approach - number below poverty line,525235-annotations
Sub-Saharan Africa,,1878,5574843,Several countries added to the Sub-Saharan Africa data from 1950 onwards,20846222,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1879,7019325,Several countries added to the Sub-Saharan Africa data from 1950 onwards,19702523,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1880,9153386,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17871245,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1881,8512975,Several countries added to the Sub-Saharan Africa data from 1950 onwards,18812439,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1882,7891431,Several countries added to the Sub-Saharan Africa data from 1950 onwards,19735074,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1883,4507954,Several countries added to the Sub-Saharan Africa data from 1950 onwards,23421335,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1884,3434244,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24796828,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1885,1792661,Several countries added to the Sub-Saharan Africa data from 1950 onwards,26740502,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1886,2100106,Several countries added to the Sub-Saharan Africa data from 1950 onwards,26733840,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1887,3250510,Several countries added to the Sub-Saharan Africa data from 1950 onwards,25885220,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1888,5167729,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24269783,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1889,5107754,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24630849,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1890,5332534,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24708853,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1891,6076953,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24266218,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1892,5733938,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24911015,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1893,5646879,Several countries added to the Sub-Saharan Africa data from 1950 onwards,25299165,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1894,5243486,Several countries added to the Sub-Saharan Africa data from 1950 onwards,26006342,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1895,7694146,Several countries added to the Sub-Saharan Africa data from 1950 onwards,23858465,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1896,8521724,Several countries added to the Sub-Saharan Africa data from 1950 onwards,23329978,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1897,7419883,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24733602,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1898,10718166,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21737102,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1899,8470710,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24287341,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1900,2904429,Several countries added to the Sub-Saharan Africa data from 1950 onwards,30155713,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1901,3260002,Several countries added to the Sub-Saharan Africa data from 1950 onwards,30472923,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1902,4830961,Several countries added to the Sub-Saharan Africa data from 1950 onwards,29203748,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1903,10472823,Several countries added to the Sub-Saharan Africa data from 1950 onwards,23861670,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1904,10497255,Several countries added to the Sub-Saharan Africa data from 1950 onwards,24139328,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1905,11795102,Several countries added to the Sub-Saharan Africa data from 1950 onwards,23143264,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1906,13299440,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21939710,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1907,12956749,Several countries added to the Sub-Saharan Africa data from 1950 onwards,22584493,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1908,8302696,Several countries added to the Sub-Saharan Africa data from 1950 onwards,27539328,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1909,9210382,Several countries added to the Sub-Saharan Africa data from 1950 onwards,26934426,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1910,4379789,Several countries added to the Sub-Saharan Africa data from 1950 onwards,32065801,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1911,4380492,Several countries added to the Sub-Saharan Africa data from 1950 onwards,32367190,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1912,4383034,Several countries added to the Sub-Saharan Africa data from 1950 onwards,32668431,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1913,4384409,Several countries added to the Sub-Saharan Africa data from 1950 onwards,32968840,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1914,4513220,Several countries added to the Sub-Saharan Africa data from 1950 onwards,33284811,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1915,4641802,Several countries added to the Sub-Saharan Africa data from 1950 onwards,33603321,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1916,4769676,Several countries added to the Sub-Saharan Africa data from 1950 onwards,33919230,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1917,4897340,Several countries added to the Sub-Saharan Africa data from 1950 onwards,34235349,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1918,5024853,Several countries added to the Sub-Saharan Africa data from 1950 onwards,34553619,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1919,5208434,Several countries added to the Sub-Saharan Africa data from 1950 onwards,34816129,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1920,5393178,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35077169,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1921,5579325,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35334804,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1922,5766461,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35594759,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1923,5954842,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35852162,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1924,6144682,Several countries added to the Sub-Saharan Africa data from 1950 onwards,36109105,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1925,6823563,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35874008,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1926,7297969,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35846692,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1927,7662312,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35930132,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1928,8841647,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35194581,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1929,8516999,Several countries added to the Sub-Saharan Africa data from 1950 onwards,35967012,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1930,8010048,Several countries added to the Sub-Saharan Africa data from 1950 onwards,36921054,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1931,7506234,Several countries added to the Sub-Saharan Africa data from 1950 onwards,37868652,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1932,7269418,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38553250,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1933,7933012,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38335748,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1934,8644264,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38071279,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1935,9386904,Several countries added to the Sub-Saharan Africa data from 1950 onwards,37775423,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1936,10098372,Several countries added to the Sub-Saharan Africa data from 1950 onwards,37508738,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1937,11130176,Several countries added to the Sub-Saharan Africa data from 1950 onwards,36958024,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1938,10720532,Several countries added to the Sub-Saharan Africa data from 1950 onwards,37847451,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1939,11252687,Several countries added to the Sub-Saharan Africa data from 1950 onwards,37796080,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1940,12834581,Several countries added to the Sub-Saharan Africa data from 1950 onwards,40430969,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1941,14152333,Several countries added to the Sub-Saharan Africa data from 1950 onwards,39724308,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1942,14983366,Several countries added to the Sub-Saharan Africa data from 1950 onwards,39503058,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1943,14606510,Several countries added to the Sub-Saharan Africa data from 1950 onwards,40490698,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1944,15456636,Several countries added to the Sub-Saharan Africa data from 1950 onwards,40251662,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1945,16977920,Several countries added to the Sub-Saharan Africa data from 1950 onwards,39348163,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1946,18920607,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38024259,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1947,19826167,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38098481,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1948,20492555,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38410185,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1949,21433739,Several countries added to the Sub-Saharan Africa data from 1950 onwards,38447784,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1950,53840018,Several countries added to the Sub-Saharan Africa data from 1950 onwards,125692137,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1951,56056505,Several countries added to the Sub-Saharan Africa data from 1950 onwards,126999376,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1952,57643749,Several countries added to the Sub-Saharan Africa data from 1950 onwards,129085956,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1953,59245644,Several countries added to the Sub-Saharan Africa data from 1950 onwards,131269280,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1954,61166414,Several countries added to the Sub-Saharan Africa data from 1950 onwards,133508382,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1955,63392838,Several countries added to the Sub-Saharan Africa data from 1950 onwards,135570629,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1956,65356166,Several countries added to the Sub-Saharan Africa data from 1950 onwards,138082808,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1957,67263079,Several countries added to the Sub-Saharan Africa data from 1950 onwards,140798265,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1958,69062383,Several countries added to the Sub-Saharan Africa data from 1950 onwards,143799092,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1959,71091730,Several countries added to the Sub-Saharan Africa data from 1950 onwards,146751479,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1960,74435996,Several countries added to the Sub-Saharan Africa data from 1950 onwards,148604382,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1961,74974893,Several countries added to the Sub-Saharan Africa data from 1950 onwards,153235025,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1962,79219514,Several countries added to the Sub-Saharan Africa data from 1950 onwards,154639311,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1963,81481466,Several countries added to the Sub-Saharan Africa data from 1950 onwards,158288751,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1964,85300383,Several countries added to the Sub-Saharan Africa data from 1950 onwards,160451831,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1965,87956189,Several countries added to the Sub-Saharan Africa data from 1950 onwards,164062772,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1966,90464437,Several countries added to the Sub-Saharan Africa data from 1950 onwards,168075220,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1967,92655212,Several countries added to the Sub-Saharan Africa data from 1950 onwards,172692912,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1968,96275711,Several countries added to the Sub-Saharan Africa data from 1950 onwards,176144792,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1969,101853362,Several countries added to the Sub-Saharan Africa data from 1950 onwards,177876227,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1970,107951974,Several countries added to the Sub-Saharan Africa data from 1950 onwards,178848673,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1971,108306886,Several countries added to the Sub-Saharan Africa data from 1950 onwards,186210622,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1972,111880762,Several countries added to the Sub-Saharan Africa data from 1950 onwards,190470058,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1973,114110011,Several countries added to the Sub-Saharan Africa data from 1950 onwards,196363418,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1974,118240120,Several countries added to the Sub-Saharan Africa data from 1950 onwards,200502521,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1975,115739754,Several countries added to the Sub-Saharan Africa data from 1950 onwards,211322794,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1976,120122099,Several countries added to the Sub-Saharan Africa data from 1950 onwards,216022530,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1977,123575561,Several countries added to the Sub-Saharan Africa data from 1950 onwards,222001187,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1978,130093022,Several countries added to the Sub-Saharan Africa data from 1950 onwards,225039896,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1979,132160670,Several countries added to the Sub-Saharan Africa data from 1950 onwards,233023740,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1980,138271770,Several countries added to the Sub-Saharan Africa data from 1950 onwards,237101240,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1981,137728620,Several countries added to the Sub-Saharan Africa data from 1950 onwards,248988389,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1982,139730010,Several countries added to the Sub-Saharan Africa data from 1950 onwards,258790946,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1983,147477481,Several countries added to the Sub-Saharan Africa data from 1950 onwards,262661883,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1984,154738368,Several countries added to the Sub-Saharan Africa data from 1950 onwards,266879554,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1985,172980211,Several countries added to the Sub-Saharan Africa data from 1950 onwards,260287109,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1986,180991485,Several countries added to the Sub-Saharan Africa data from 1950 onwards,264285404,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1987,190507291,Several countries added to the Sub-Saharan Africa data from 1950 onwards,267307121,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1988,197950142,Several countries added to the Sub-Saharan Africa data from 1950 onwards,272584438,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1989,195384225,Several countries added to the Sub-Saharan Africa data from 1950 onwards,288140373,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1990,208286116,Several countries added to the Sub-Saharan Africa data from 1950 onwards,288486170,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1991,203400194,Several countries added to the Sub-Saharan Africa data from 1950 onwards,307624490,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1992,208762606,Several countries added to the Sub-Saharan Africa data from 1950 onwards,316109541,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1993,221642214,Several countries added to the Sub-Saharan Africa data from 1950 onwards,316861746,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1994,218889604,Several countries added to the Sub-Saharan Africa data from 1950 onwards,332608543,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1995,225362045,Several countries added to the Sub-Saharan Africa data from 1950 onwards,339995239,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1996,253719165,Several countries added to the Sub-Saharan Africa data from 1950 onwards,326577642,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1997,282023529,Several countries added to the Sub-Saharan Africa data from 1950 onwards,312823014,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1998,279259036,Several countries added to the Sub-Saharan Africa data from 1950 onwards,330591079,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1999,324590829,Several countries added to the Sub-Saharan Africa data from 1950 onwards,301199005,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2000,321618241,Several countries added to the Sub-Saharan Africa data from 1950 onwards,320514666,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2001,354589421,Several countries added to the Sub-Saharan Africa data from 1950 onwards,304259443,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2002,401771715,Several countries added to the Sub-Saharan Africa data from 1950 onwards,274485823,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2003,405148175,Several countries added to the Sub-Saharan Africa data from 1950 onwards,289220199,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2004,396496210,Several countries added to the Sub-Saharan Africa data from 1950 onwards,316407648,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2005,427346524,Several countries added to the Sub-Saharan Africa data from 1950 onwards,304464115,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2006,470488852,Several countries added to the Sub-Saharan Africa data from 1950 onwards,280675583,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2007,484156998,Several countries added to the Sub-Saharan Africa data from 1950 onwards,286919695,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2008,456849173,Several countries added to the Sub-Saharan Africa data from 1950 onwards,334534288,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2009,474514061,Several countries added to the Sub-Saharan Africa data from 1950 onwards,337589274,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2010,489616229,Several countries added to the Sub-Saharan Africa data from 1950 onwards,343634986,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2011,483661900,Several countries added to the Sub-Saharan Africa data from 1950 onwards,371239319,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2012,512948804,Several countries added to the Sub-Saharan Africa data from 1950 onwards,364119495,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2013,563986295,Several countries added to the Sub-Saharan Africa data from 1950 onwards,335611653,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2014,593902894,Several countries added to the Sub-Saharan Africa data from 1950 onwards,331564357,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2015,554811531,Several countries added to the Sub-Saharan Africa data from 1950 onwards,393973387,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2016,588598779,Several countries added to the Sub-Saharan Africa data from 1950 onwards,383026095,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2017,623522890,Several countries added to the Sub-Saharan Africa data from 1950 onwards,387906182,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,2018,655994354,Several countries added to the Sub-Saharan Africa data from 1950 onwards,382632859,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Western Europe,,1820,38329945,,101142055,
Western Europe,,1821,39813783,,101044216,
Western Europe,,1822,40075906,,102134094,
Western Europe,,1823,41191716,,102377284,
Western Europe,,1824,42671439,,102258560,
Western Europe,,1825,42549917,,103752083,
Western Europe,,1826,43135713,,104473287,
Western Europe,,1827,43639880,,105231120,
Western Europe,,1828,44078903,,106041097,
Western Europe,,1829,44924828,,106418171,
Western Europe,,1830,45138952,,107409048,
Western Europe,,1831,45952665,,107734334,
Western Europe,,1832,46784102,,107992898,
Western Europe,,1833,47188723,,108683277,
Western Europe,,1834,48694649,,108213352,
Western Europe,,1835,51476991,,106724009,
Western Europe,,1836,51110562,,108303438,
Western Europe,,1837,50519029,,110149971,
Western Europe,,1838,52352347,,109577653,
Western Europe,,1839,52056243,,111174757,
Western Europe,,1840,52285265,,112255736,
Western Europe,,1841,53790624,,112029376,
Western Europe,,1842,53162014,,113893986,
Western Europe,,1843,53799179,,114424821,
Western Europe,,1844,55948761,,113541239,
Western Europe,,1845,57840465,,112917534,
Western Europe,,1846,56780537,,115117462,
Western Europe,,1847,57007346,,115186653,
Western Europe,,1848,57562138,,114258862,
Western Europe,,1849,60385032,,111551968,
Western Europe,,1850,60793293,,111432707,
Western Europe,,1851,62040841,,110497159,
Western Europe,,1852,63115452,,110193547,
Western Europe,,1853,61422142,,112617858,
Western Europe,,1854,61251915,,113562084,
Western Europe,,1855,61084116,,114561884,
Western Europe,,1856,63235900,,113295099,
Western Europe,,1857,65824321,,111640680,
Western Europe,,1858,66459495,,112041505,
Western Europe,,1859,67338664,,112271335,
Western Europe,,1860,69507038,,111266962,
Western Europe,,1861,69237759,,112766242,
Western Europe,,1862,70990686,,112264314,
Western Europe,,1863,75276673,,109254326,
Western Europe,,1864,75286851,,110503148,
Western Europe,,1865,75384977,,111659023,
Western Europe,,1866,76021713,,112006287,
Western Europe,,1867,73058121,,116022879,
Western Europe,,1868,75110848,,114787152,
Western Europe,,1869,78061013,,113308987,
Western Europe,,1870,78493860,,113491140,
Western Europe,,1871,79780082,,112492917,
Western Europe,,1872,83476362,,109659637,
Western Europe,,1873,86330919,,108085082,
Western Europe,,1874,89013748,,106811251,
Western Europe,,1875,91352953,,105914047,
Western Europe,,1876,90377556,,108616443,
Western Europe,,1877,92567732,,108175269,
Western Europe,,1878,93769291,,108534710,
Western Europe,,1879,92521503,,111514496,
Western Europe,,1880,96624001,,108781998,
Western Europe,,1881,99571720,,107080279,
Western Europe,,1882,102241231,,105688769,
Western Europe,,1883,103613446,,105537554,
Western Europe,,1884,105080814,,105526185,
Western Europe,,1885,107087225,,104928774,
Western Europe,,1886,109089714,,104386286,
Western Europe,,1887,112221038,,102638961,
Western Europe,,1888,114866029,,101392971,
Western Europe,,1889,119087235,,98678764,
Western Europe,,1890,122721527,,96482472,
Western Europe,,1891,121414729,,99175271,
Western Europe,,1892,121940241,,100116759,
Western Europe,,1893,122418041,,101091960,
Western Europe,,1894,125084639,,100153360,
Western Europe,,1895,127878035,,99035966,
Western Europe,,1896,130590583,,98216417,
Western Europe,,1897,132863115,,98031885,
Western Europe,,1898,136254336,,96731665,
Western Europe,,1899,139414953,,95595047,
Western Europe,,1900,139981413,,96920586,
Western Europe,,1901,138941946,,99947055,
Western Europe,,1902,141461502,,99625497,
Western Europe,,1903,143773936,,99437065,
Western Europe,,1904,143874213,,101475786,
Western Europe,,1905,146413301,,100957698,
Western Europe,,1906,150802712,,98822289,
Western Europe,,1907,154170908,,97581092,
Western Europe,,1908,153280892,,100724107,
Western Europe,,1909,157343810,,98906191,
Western Europe,,1910,161041983,,97464017,
Western Europe,,1911,163926403,,96850597,
Western Europe,,1912,168020000,,94377999,
Western Europe,,1913,169480110,,94482891,
Western Europe,,1914,166383425,,99843574,
Western Europe,,1915,165517230,,101030770,
Western Europe,,1916,166294912,,100244087,
Western Europe,,1917,161303562,,104651438,
Western Europe,,1918,156006476,,108424523,
Western Europe,,1919,156626875,,103002125,
Western Europe,,1920,162957853,,98095146,
Western Europe,,1921,158075254,,100772745,
Western Europe,,1922,167094131,,93552869,
Western Europe,,1923,166133233,,96723768,
Western Europe,,1924,169827325,,95118674,
Western Europe,,1925,173010212,,93760787,
Western Europe,,1926,175849861,,92840138,
Western Europe,,1927,179553057,,90773943,
Western Europe,,1928,187189313,,84815686,
Western Europe,,1929,188951306,,84631696,
Western Europe,,1930,190003806,,85478193,
Western Europe,,1931,192442705,,84894296,
Western Europe,,1932,194399827,,84518174,
Western Europe,,1933,197310754,,83148247,
Western Europe,,1934,200849349,,81217652,
Western Europe,,1935,207482513,,76224488,
Western Europe,,1936,201863716,,83437284,
Western Europe,,1937,206006799,,80921202,
Western Europe,,1938,210473922,,78392077,
Western Europe,,1939,218660985,,72373015,
Western Europe,,1940,217286611,,74800389,
Western Europe,,1941,215053628,,77016374,
Western Europe,,1942,219084988,,74273012,
Western Europe,,1943,218558955,,75012044,
Western Europe,,1944,195608572,,98268428,
Western Europe,,1945,193425759,,99353240,
Western Europe,,1946,190518189,,101899810,
Western Europe,,1947,206511411,,89278588,
Western Europe,,1948,218162675,,81145324,
Western Europe,,1949,235585820,,66282179,
Western Europe,,1950,242573409,,62558466,
Western Europe,,1951,237836847,,69382513,
